Year,Imports,Exports
2000,58082,55704
2001,53779,52928
2002,52153,42502
2003,53493,42284
2004,56454,43800
2005,60218,45510
2006,61004,51767
2007,63111,55479
2008,62688,57351
2009,50803,48902
2010,52740,51406
2011,52260,56998
